pessoa,tarefa,ocorrencia,inicio_slot,fim_slot;;;;;
pai,lavar_louca,1,1,2;;;;;
mae,amamentar,0,2,6;;;;;dependencias 
pai,arrotar,0,6,8;;;;;lavar louca dps de almoco e janta, amamentar e estender roupa 
mae,trocar_fralda,0,8,10;;;;;problema: não consigo colocar a dependencia lavar louca depois de fazer café 
pai,ninar,0,10,12;;;;;
pai,lavar_banheiro,0,12,14;;;;;
mae,amamentar,1,14,18;;;;;
pai,lavar_louca,2,14,15;;;;;
pai,arrotar,1,18,20;;;;;
mae,trocar_fralda,1,20,22;;;;;
pai,ninar,1,22,24;;;;;
mae,amamentar,2,26,30;;;;;
pai,aspirar_casa,0,26,28;;;;;
pai,preparar_cafe_manha,0,30,31;;;;;
avo,arrotar,2,30,32;;;;;
mae,trocar_fralda,2,32,34;;;;;
mae,ninar,2,34,36;;;;;
avo,cortar_unha,0,36,37;;;;;
mae,amamentar,3,38,42;;;;;
mae,arrotar,3,42,44;;;;;
babysitter,trocar_fralda,3,44,46;;;;;
babysitter,ninar,3,46,48;;;;;
mae,amamentar,4,50,54;;;;;
avo,preparar_almoco,0,52,54;;;;;
mae,passar_roupa,0,54,56;;;;;
avo,arrotar,4,54,56;;;;;
babysitter,trocar_fralda,4,56,58;;;;;
babysitter,ninar,4,58,60;;;;;
tia,banho_de_sol,0,61,62;;;;;
mae,amamentar,5,62,66;;;;;
tio,arrotar,5,66,68;;;;;
mae,trocar_fralda,5,68,70;;;;;
pai,ninar,5,70,72;;;;;
mae,preparar_jantar,0,72,74;;;;;
pai,banho,0,72,74;;;;;
mae,amamentar,6,74,78;;;;;
pai,lavar_louca,0,74,75;;;;;
tio,arrotar,6,78,80;;;;;
mae,trocar_fralda,6,80,82;;;;;
pai,tirar_lixo,0,81,82;;;;;
tio,ninar,6,82,84;;;;;
mae,amamentar,7,86,90;;;;;
mae,arrotar,7,90,92;;;;;
mae,trocar_fralda,7,92,94;;;;;
pai,lavar_roupa,0,93,94;;;;;
mae,ninar,7,94,96;;;;;
pai,estender_roupa,0,94,95;;;;;
